id,Label,subcat1,subcat2,obj1,pb1,obj2,pb2,obj3,pb3,obj4,pb4,obj5,pb5,obj6,pb6,black,red,green,blue,yellow,magenta,cyan,maroon,purple,orange,gray,white,booksDay,price
032119991X,"MyMathLab: Student Access Kit For Students Edition","Science & Math",Mathematics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0545553737043,24.8390616476,0.0,0.392798690671,0.0,0.0,0.0,0.600109110747,0.368248772504,0.00818330605565,5.00272776869,68.7343153301,D,68.1
0399226907,"The Very Hungry Caterpillar Board book","Children's Books","Early Learning",head_cabbage,99.59104061126709,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.4652753187,1.73900053116,0.0,0.0,0.444847733711,0.0,0.0,0.651226097734,0.00940598441926,1.16136242918,33.9932276912,58.5356542139,C,3.57
0310247454,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life Paperback",Self-Help,Relationships,pencil_sharpener,79.71426844596863,knife,87.15168237686157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.19731800766,10.7983998197,0.0,0.0,0.0,0.0,0.0,0.0507099391481,0.0478927203065,1.71286905567,8.9277665089,77.2650439486,D,7.99
0061906220,"Pete the Cat: I Love My White Shoes Hardcover","Children's Books","Growing Up & Facts of Life",giant_schnauzer,89.33609127998352,cat,83.0403208732605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.74346343312,0.193255020841,0.0,2.203486169,73.9446760136,0.0,0.0189465706707,0.335354300872,0.699128457749,2.08033345964,5.58355437666,7.1978021978,E,9.34
0316055433,"The Goldfinch: A Novel (Pulitzer Prize for Fiction) Hardcover","Literature & Fiction","United States",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.55499545734,0.0,0.0,0.0,0.0,0.0,0.0,1.0404149937,0.211013745201,3.23847483954,24.9113449196,67.0437560447,B,6.99
0062024043,"Divergent / Insurgent Hardcover","Teen & Young Adult","Literature & Fiction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.8276573212,0.0,0.0,0.0,0.175575497464,0.0,0.0,2.46641770247,0.0696728164539,0.0808204670866,62.8755364807,22.5043197146,C,6.99
0736431209,"Frozen: A Tale of Two Sisters Paperback","Children's Books","Literature & Fiction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.54801900061,0.0,0.0,0.01592229918,0.0,0.0,0.7165034631,0.56258790436,8.18140806199,3.17119125335,65.0266698511,18.7776981663,D,2.53
0345472322,"Mindset: The New Psychology of Success Paperback","Health, Fitness & Dieting","Psychology & Counseling",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.6768558952,0.0,0.0,1.26901321767,0.0,0.0,0.0,0.00293074646112,0.0967146332171,0.00293074646112,4.74780926702,88.203745494,D,8.99
1465414053,"Ultimate Sticker Book: Frozen (Ultimate Sticker Books) Paperback","Children's Books","Growing Up & Facts of Life",person,93.39093565940857,dog,83.5528314113617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.80636716771,0.0422225975342,0.0,0.0,0.0,0.0,0.050667117041,0.95000844452,3.43058604965,0.0168890390137,22.7558689411,68.9473906435,B,6.29
0061992259,"The One and Only Ivan Hardcover","Children's Books","Growing Up & Facts of Life","teddy bear",86.06978058815002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.6040195546,0.0,0.0,0.0,0.0,0.0,0.0290990921083,1.56165127648,0.0969969736944,0.0,48.0639404051,6.64429269807,D,7.99
